transaction_id,employee_id,transaction_type,amount,payment_mode,bank_name,account_number,transaction_date,transaction_status
23,7,Reimbursement,78569,UPI,ICICI Bank,OSTE3166904872094,2024-09-16,Failed
24,8,Reimbursement,57625,Cash,,,2025-08-21,Failed
25,8,Salary,26313,Cash,,,2023-03-07,Failed
26,8,Salary,33151,Cash,,,2025-03-11,Pending
27,8,Claim_Payout,143599,Bank Transfer,RBL Bank,BRYM8895298758886,2025-01-08,Pending
28,9,Reimbursement,130383,Bank Transfer,Federal Bank,EAFP4201063764191,2025-09-06,Failed
29,9,Reimbursement,91316,Cash,,,2024-06-17,Failed
30,9,Claim_Payout,58977,UPI,IndusInd Bank,MBBG2828200432103,2023-11-14,Success
31,9,Reimbursement,141987,Cash,,,2024-06-08,Pending
32,10,Reimbursement,76940,Cash,,,2025-05-12,Success
33,10,Claim_Payout,135038,Bank Transfer,IDFC First Bank,VOET8080893918470,2025-04-13,Failed
34,10,Salary,97865,Bank Transfer,City Union Bank,ERZL9789021050985,2023-09-23,Success
35,10,Claim_Payout,124226,Cash,,,2023-03-12,Success
36,11,Reimbursement,63073,Cash,,,2023-03-20,Pending
37,11,Reimbursement,146198,UPI,Union Bank of India,EWXV1122865520676,2023-08-02,Pending
38,12,Claim_Payout,29888,Cash,,,2023-11-04,Success
39,12,Salary,38910,Cash,,,2023-10-21,Failed
40,13,Reimbursement,141675,Bank Transfer,Indian Bank,XCGZ4981717791224,2024-12-08,Pending
41,13,Claim_Payout,33159,Bank Transfer,City Union Bank,MUQW3790053419615,2025-07-16,Failed
42,13,Reimbursement,46203,Cash,,,2023-12-18,Failed
43,14,Claim_Payout,96170,Cash,,,2023-06-28,Failed
44,14,Salary,70014,UPI,Indian Bank,CHSQ1979289621375,2025-02-18,Pending
45,14,Salary,37899,Cash,,,2024-12-30,Success
46,15,Salary,80843,Bank Transfer,IDBI Bank,LJZR1562265964693,2024-05-09,Failed
47,15,Salary,73058,Cash,,,2023-02-06,Failed
48,16,Reimbursement,38404,Cash,,,2024-03-11,Pending
49,16,Salary,90842,Bank Transfer,Bandhan Bank,YWJU6806164828460,2023-10-01,Failed
50,16,Claim_Payout,130007,UPI,HDFC Bank,QUBK4589317810128,2024-05-06,Pending
51,17,Salary,25261,Cash,,,2024-02-28,Success
52,17,Claim_Payout,42884,Bank Transfer,Jammu & Kashmir Bank,VMEC1969098531145,2023-11-04,Pending
53,17,Claim_Payout,74533,Bank Transfer,IDFC First Bank,VIWE6323417232683,2023-07-29,Pending
54,17,Reimbursement,70373,UPI,Axis Bank,EGWL3143233414240,2024-01-14,Pending
55,18,Claim_Payout,145929,UPI,CSB Bank,IRDX4182962174210,2023-11-11,Failed
56,18,Reimbursement,137842,UPI,DCB Bank,EXGX9958916887984,2024-11-14,Failed
57,19,Claim_Payout,27510,Bank Transfer,DCB Bank,NXPW4984235476998,2024-09-26,Success
58,19,Reimbursement,68935,Bank Transfer,Bank of Baroda,RMQT8737507060564,2024-07-10,Pending
59,19,Salary,119734,Bank Transfer,Jammu & Kashmir Bank,UMPG2496860828001,2025-07-02,Pending
60,19,Claim_Payout,108234,Cash,,,2024-02-02,Pending
61,20,Claim_Payout,80454,Cash,,,2025-12-15,Failed
62,20,Reimbursement,148344,Bank Transfer,Karnataka Bank,MPIR2824965445943,2023-05-16,Success
63,20,Reimbursement,100690,Bank Transfer,Indian Overseas Bank,KNMR0842414152619,2024-10-04,Failed
64,20,Salary,133898,Cash,,,2023-09-24,Pending
65,21,Salary,140429,UPI,Karur Vysya Bank,EVYP3601273096363,2025-12-18,Pending
66,21,Claim_Payout,30549,Cash,,,2025-01-08,Success
67,21,Claim_Payout,48508,Bank Transfer,Federal Bank,DAUM5099217929271,2024-09-20,Pending
68,21,Claim_Payout,67150,Bank Transfer,Tamilnad Mercantile Bank,BBZK8787524990835,2023-09-02,Pending
69,22,Salary,40902,Bank Transfer,State Bank of India,LARQ6301560852399,2023-04-15,Success
70,22,Claim_Payout,126151,Bank Transfer,Dhanlaxmi Bank,FSDG1275139776105,2023-10-28,Success
71,23,Reimbursement,137523,UPI,Punjab and Sind Bank,ZHME2145306420169,2023-10-29,Pending
72,23,Reimbursement,139856,UPI,ICICI Bank,CACC4806216850520,2023-02-07,Success
73,23,Salary,91757,Bank Transfer,Canara Bank,XEGL4016942815388,2023-01-29,Failed
74,23,Reimbursement,79343,UPI,Indian Overseas Bank,JPHN2754613803885,2024-03-17,Failed
75,24,Reimbursement,35403,Bank Transfer,CSB Bank,GVDM3435426619320,2024-05-23,Success
76,24,Claim_Payout,101223,UPI,Union Bank of India,FJTO1048231758105,2023-11-26,Pending
77,25,Claim_Payout,105024,UPI,Karnataka Bank,AQGO2037556656272,2026-01-01,Pending
78,25,Claim_Payout,101102,Cash,,,2023-04-30,Success
79,25,Claim_Payout,92919,UPI,City Union Bank,EZKQ3066550103353,2023-05-01,Success
80,26,Reimbursement,81587,UPI,Federal Bank,FJBZ5465803394443,2025-03-13,Pending
81,26,Claim_Payout,59843,UPI,Union Bank of India,IGQQ0047838255949,2023-10-11,Failed
82,26,Reimbursement,104686,UPI,Karur Vysya Bank,JPJU6524795704641,2025-12-11,Pending
83,26,Reimbursement,72605,UPI,IndusInd Bank,VOHP4856260792155,2024-07-04,Pending
84,27,Claim_Payout,112463,Bank Transfer,IDFC First Bank,UIII4766528022591,2023-04-07,Failed
85,27,Reimbursement,51904,Bank Transfer,South Indian Bank,IIEE8531719325449,2023-04-03,Failed
86,27,Reimbursement,43527,UPI,Karur Vysya Bank,LXAK8232719050064,2024-04-30,Failed
87,28,Reimbursement,80052,UPI,Karnataka Bank,OSJL7694427654058,2024-02-18,Failed
88,28,Claim_Payout,35132,UPI,Axis Bank,KPXL3225404973972,2026-01-16,Failed
89,28,Claim_Payout,30328,Bank Transfer,Karnataka Bank,EOKD1207350748649,2023-09-08,Pending
90,28,Claim_Payout,64306,Bank Transfer,Jammu & Kashmir Bank,QHUA2994474620343,2025-08-04,Pending
91,29,Claim_Payout,112790,Cash,,,2025-12-08,Failed
92,29,Claim_Payout,133397,Cash,,,2025-11-07,Failed
93,29,Reimbursement,149823,Cash,,,2023-01-27,Pending
94,30,Reimbursement,70058,Cash,,,2025-03-15,Success
95,30,Reimbursement,123609,Cash,,,2023-10-05,Pending
96,30,Salary,135305,Cash,,,2023-04-30,Failed
97,30,Claim_Payout,27097,Bank Transfer,Bank of India,YJPF3214224565530,2024-04-06,Success
98,31,Salary,100551,UPI,Karur Vysya Bank,WTHE7620299137007,2024-08-22,Failed
99,31,Reimbursement,22258,UPI,Karur Vysya Bank,SLWN0491652114299,2024-01-28,Failed
100,31,Claim_Payout,69854,Bank Transfer,Indian Overseas Bank,CXCO0305994615285,2025-08-11,Success
101,31,Claim_Payout,88643,Bank Transfer,Bandhan Bank,IQUB0125981908241,2024-11-26,Failed
102,32,Reimbursement,103962,Bank Transfer,Bank of India,CXIT8997399855304,2026-01-16,Failed
103,32,Claim_Payout,47210,Bank Transfer,Dhanlaxmi Bank,XCNQ5316964845009,2023-05-31,Success
104,33,Claim_Payout,61469,Bank Transfer,ICICI Bank,GGFJ3856463426727,2024-11-06,Success
105,33,Salary,100278,Bank Transfer,Karur Vysya Bank,KXZL1441327265652,2024-01-07,Success
106,33,Reimbursement,125164,Bank Transfer,Axis Bank,JRND9557650515087,2024-04-09,Failed
107,34,Claim_Payout,133624,UPI,DCB Bank,LLUU8010556997389,2023-12-26,Success
108,34,Claim_Payout,105536,UPI,IDBI Bank,TBYG2879886384559,2024-06-07,Pending
109,34,Claim_Payout,57169,UPI,Karur Vysya Bank,GUAW0260816400867,2023-05-03,Failed
110,35,Claim_Payout,107816,UPI,Karnataka Bank,TJZR1961911341104,2025-06-25,Success
111,35,Reimbursement,137705,Cash,,,2024-04-13,Pending
112,36,Salary,87773,Cash,,,2026-01-19,Pending
113,36,Salary,39755,Cash,,,2025-04-16,Success
114,36,Salary,87287,Cash,,,2025-04-19,Success
115,36,Reimbursement,10885,Bank Transfer,Dhanlaxmi Bank,SJQV6834125069274,2023-06-28,Failed
116,37,Reimbursement,81037,Bank Transfer,UCO Bank,DKEM2811892985125,2024-09-23,Failed
117,37,Claim_Payout,112911,UPI,Federal Bank,EPRL1454138456909,2024-10-05,Failed
118,37,Claim_Payout,53331,Cash,,,2023-11-04,Success
119,37,Reimbursement,139850,Bank Transfer,Yes Bank,ZWEH2379325061634,2025-04-30,Pending
120,38,Reimbursement,36070,Cash,,,2024-04-09,Success
121,38,Reimbursement,75006,UPI,Kotak Mahindra Bank,GUIS4452948044645,2023-12-07,Success
122,38,Claim_Payout,136767,UPI,UCO Bank,CRBC7609321234542,2025-12-23,Failed
123,38,Reimbursement,45299,UPI,CSB Bank,PCJN2788847292756,2025-08-06,Pending
124,39,Salary,103035,Cash,,,2024-09-05,Failed
125,39,Claim_Payout,102571,Bank Transfer,HDFC Bank,LTLS8873571731649,2024-03-05,Pending
126,40,Salary,103197,Cash,,,2023-10-06,Failed
127,40,Claim_Payout,134430,UPI,Dhanlaxmi Bank,IEVL8929830740535,2023-05-02,Failed
128,40,Claim_Payout,116382,UPI,Union Bank of India,HBHX3779154227894,2024-08-20,Success
129,40,Salary,47832,UPI,South Indian Bank,HWPC3131672190248,2023-10-27,Success
130,41,Claim_Payout,52360,Cash,,,2025-05-14,Success
131,41,Reimbursement,22001,Bank Transfer,IDBI Bank,JTFI8976378513913,2025-12-30,Success
132,42,Salary,20376,Bank Transfer,IDFC First Bank,JBGO0917160365578,2024-02-07,Failed
133,42,Salary,100180,Bank Transfer,Federal Bank,KZYM2372362292664,2024-10-20,Failed
134,42,Salary,57703,Cash,,,2024-06-09,Pending
135,42,Claim_Payout,117184,UPI,Karur Vysya Bank,HIEU6882012998692,2026-01-09,Success
136,43,Claim_Payout,31726,Bank Transfer,Indian Overseas Bank,FSBZ7723001823490,2025-09-15,Failed
137,43,Salary,22545,UPI,South Indian Bank,EEDC0581829018786,2023-03-19,Success
138,44,Reimbursement,89830,Cash,,,2024-10-21,Success
139,44,Salary,122100,UPI,Axis Bank,TGJU0419197227592,2025-07-15,Pending
140,44,Reimbursement,138498,Cash,,,2024-10-11,Pending
141,44,Salary,76684,UPI,State Bank of India,QRED7290330920319,2023-10-22,Success
142,45,Salary,134122,UPI,UCO Bank,HVAQ8700706428245,2025-06-25,Pending
143,45,Reimbursement,18282,UPI,RBL Bank,VUDB2856568096578,2023-07-25,Success
144,45,Salary,49074,UPI,State Bank of India,ILNC1215898908039,2026-01-01,Pending
145,45,Reimbursement,14758,Bank Transfer,RBL Bank,RYTB1888779451708,2025-09-27,Pending
146,46,Salary,71187,Cash,,,2024-09-23,Success
147,46,Claim_Payout,127940,Bank Transfer,Bank of Maharashtra,CRPL8351609544862,2025-10-24,Pending
148,46,Claim_Payout,53740,Cash,,,2024-03-05,Failed
149,46,Salary,48790,Cash,,,2025-05-28,Failed
150,47,Reimbursement,79333,Bank Transfer,South Indian Bank,YBYR7571285324831,2023-04-09,Pending
151,47,Salary,144525,Bank Transfer,Bank of India,YLNA5653731965802,2023-10-11,Success
152,47,Claim_Payout,102884,Cash,,,2024-12-29,Failed
153,48,Salary,71663,Cash,,,2024-08-07,Failed
154,48,Claim_Payout,94680,UPI,RBL Bank,SOKQ8611699047814,2025-03-18,Pending
155,49,Salary,107688,Bank Transfer,Central Bank of India,BGFR6327429061967,2025-04-01,Failed
156,49,Salary,99655,Cash,,,2024-06-16,Success
157,49,Salary,124304,Bank Transfer,Axis Bank,PQLX0973165298763,2023-10-22,Pending
158,50,Reimbursement,20188,Cash,,,2024-08-31,Pending
159,50,Reimbursement,113211,Bank Transfer,Bank of India,UFUT8122432715526,2024-01-08,Failed
160,50,Claim_Payout,125646,Bank Transfer,South Indian Bank,THLV3650471186264,2025-03-29,Success
161,51,Reimbursement,76235,Bank Transfer,South Indian Bank,VCQQ8841717203198,2025-02-18,Pending
162,51,Claim_Payout,31007,UPI,Bank of India,BWXI6114622671960,2025-04-05,Pending
163,51,Salary,131870,Bank Transfer,Dhanlaxmi Bank,CVOH5491970583082,2025-06-27,Success
164,51,Salary,65946,Bank Transfer,Bank of India,BBIB4685857164753,2024-11-05,Pending
165,52,Reimbursement,134842,Cash,,,2025-07-27,Success
166,52,Claim_Payout,106363,Cash,,,2024-01-23,Success
167,52,Salary,66556,UPI,IDBI Bank,NXCI8812078194636,2024-06-16,Success
168,52,Claim_Payout,75105,Cash,,,2025-03-22,Success
169,53,Salary,20658,Bank Transfer,Bank of India,SVMT4445197472167,2024-05-26,Failed
170,53,Salary,34379,Bank Transfer,Bank of Baroda,RRDN4588720457142,2024-09-06,Failed
171,53,Reimbursement,22790,Cash,,,2025-09-29,Pending
172,53,Salary,47548,Cash,,,2023-09-18,Success
173,54,Salary,88834,Cash,,,2023-01-27,Success
174,54,Reimbursement,78079,Bank Transfer,Federal Bank,YVDT9051550581207,2024-10-05,Failed
175,54,Claim_Payout,146456,UPI,CSB Bank,VFZV5004763061226,2025-03-21,Failed
176,54,Reimbursement,120629,UPI,Bank of Maharashtra,AQLZ2542696500476,2025-04-26,Success
177,55,Salary,49535,UPI,IDFC First Bank,XCLK9693385383874,2025-03-03,Pending
178,55,Reimbursement,87440,Bank Transfer,South Indian Bank,LLXP2337508868503,2024-06-11,Failed
179,56,Claim_Payout,149208,UPI,Indian Overseas Bank,NMDG0512355119004,2024-09-20,Pending
180,56,Salary,85468,UPI,Jammu & Kashmir Bank,IYFV8165435554608,2025-05-28,Failed
181,56,Reimbursement,142471,UPI,IDBI Bank,BNOS1389854235416,2025-03-13,Pending
182,57,Reimbursement,35041,Bank Transfer,Karnataka Bank,OLSI7841637889477,2023-10-01,Pending
183,57,Salary,26943,UPI,Karur Vysya Bank,PQRS9260340819562,2025-01-07,Success
184,58,Claim_Payout,142409,UPI,Union Bank of India,KGXE4679532101886,2025-09-04,Pending
185,58,Reimbursement,61018,Bank Transfer,Federal Bank,QNEH5678178396172,2025-11-12,Pending
186,59,Claim_Payout,104340,UPI,RBL Bank,NNRD1955008620050,2025-10-26,Pending
187,59,Salary,45118,Bank Transfer,ICICI Bank,GBFE6967794844899,2025-10-25,Pending
188,59,Claim_Payout,27808,Bank Transfer,State Bank of India,OTBX4957076531377,2023-10-03,Pending
189,60,Reimbursement,142523,UPI,Karur Vysya Bank,SSDD1137853822131,2024-04-01,Pending
190,60,Salary,86289,Bank Transfer,Bank of Maharashtra,NVIM7618786544876,2025-02-20,Pending
191,60,Reimbursement,66133,UPI,Bank of Maharashtra,LAKO9764578124683,2023-11-01,Success
192,61,Salary,12302,Bank Transfer,Nainital Bank,SDLT5757047241303,2023-08-13,Success
193,61,Claim_Payout,45381,UPI,Karur Vysya Bank,DUNF1660229712609,2025-01-26,Failed
194,61,Reimbursement,110946,UPI,Bank of Maharashtra,XIJA0194179059156,2025-12-10,Pending
195,62,Claim_Payout,64221,Bank Transfer,Tamilnad Mercantile Bank,BJUP2985185042244,2025-06-19,Failed
196,62,Reimbursement,144060,Bank Transfer,South Indian Bank,QAAC0157283212241,2025-03-16,Failed
197,62,Salary,96545,Cash,,,2025-10-12,Success
198,62,Claim_Payout,121010,Bank Transfer,IDFC First Bank,HTCD3543541403610,2026-01-09,Pending
199,63,Salary,97685,Bank Transfer,RBL Bank,HINF8095206159180,2024-04-11,Failed
200,63,Salary,53245,Cash,,,2024-08-18,Pending
201,63,Reimbursement,136036,Bank Transfer,Indian Overseas Bank,DDTY3830010231424,2023-07-14,Failed
202,64,Claim_Payout,114484,Bank Transfer,IndusInd Bank,VJAK6958795938492,2025-03-13,Pending
203,64,Claim_Payout,80372,Cash,,,2024-12-21,Failed
204,64,Claim_Payout,110464,Cash,,,2025-09-05,Pending
205,64,Salary,75790,UPI,HDFC Bank,AISJ6662389432043,2024-10-06,Failed
206,65,Claim_Payout,141832,Cash,,,2024-07-25,Success
207,65,Salary,76421,Cash,,,2024-12-17,Failed
208,65,Salary,134485,UPI,Punjab and Sind Bank,CJPN4931873187303,2024-09-18,Success
209,66,Reimbursement,54354,UPI,City Union Bank,YEBJ8345250852877,2023-07-26,Success
210,66,Claim_Payout,85172,Bank Transfer,Central Bank of India,NVFK5987132331175,2024-01-16,Success
211,66,Salary,77344,Cash,,,2024-09-16,Pending
212,66,Claim_Payout,56219,Cash,,,2024-09-24,Failed
213,67,Claim_Payout,144026,Bank Transfer,IndusInd Bank,MAHM0263150502710,2025-12-29,Failed
214,67,Claim_Payout,105148,UPI,Punjab National Bank,RMQA5984039004624,2023-01-28,Success
215,68,Reimbursement,22697,Bank Transfer,Union Bank of India,ZIFS5875985096370,2025-02-19,Pending
216,68,Reimbursement,74406,Cash,,,2024-05-03,Success
217,68,Claim_Payout,66854,UPI,Federal Bank,JBKV2554502754367,2023-02-08,Failed
218,69,Claim_Payout,93342,UPI,Dhanlaxmi Bank,EYKP0296568733078,2024-04-23,Failed
219,69,Salary,17803,UPI,South Indian Bank,DFRG7050621377305,2024-05-24,Failed
220,69,Reimbursement,30994,Bank Transfer,Axis Bank,BANZ0726355863782,2023-09-29,Success
221,69,Salary,120822,Bank Transfer,IndusInd Bank,EKRX9936537165725,2023-08-05,Success
222,70,Claim_Payout,75332,Bank Transfer,DCB Bank,GZJL1291445475278,2024-11-20,Success
223,70,Reimbursement,19941,Bank Transfer,Kotak Mahindra Bank,UTAO6044881642847,2024-04-07,Pending
224,71,Reimbursement,43437,UPI,Yes Bank,WCWA0147692973456,2023-09-07,Failed
225,71,Reimbursement,54228,Bank Transfer,Central Bank of India,KLYF5508870755361,2024-03-14,Success
226,72,Reimbursement,149415,Bank Transfer,Nainital Bank,SGUT1300508590430,2025-06-07,Success
227,72,Reimbursement,140580,Cash,,,2024-08-28,Failed
228,72,Salary,107697,Bank Transfer,RBL Bank,RHUC1917214233375,2025-02-27,Pending
229,72,Reimbursement,10574,UPI,IndusInd Bank,CWKW7918308171916,2025-11-12,Pending
230,73,Claim_Payout,80692,Bank Transfer,Kotak Mahindra Bank,KQRN0139434831047,2024-06-20,Success
231,73,Reimbursement,93243,Cash,,,2025-08-05,Success
232,73,Salary,99985,UPI,Punjab National Bank,BATA0805878536967,2023-09-21,Pending
233,74,Claim_Payout,112258,UPI,IDFC First Bank,XWUY7630616425118,2025-06-29,Pending
234,74,Claim_Payout,133177,Cash,,,2023-02-20,Failed
235,74,Claim_Payout,61842,UPI,Bank of Baroda,YHCJ9529502355088,2023-04-08,Pending
236,75,Reimbursement,56751,Bank Transfer,IDBI Bank,NKWK1992717209113,2023-09-15,Success
237,75,Claim_Payout,112058,Cash,,,2025-12-20,Failed
238,75,Reimbursement,75446,UPI,CSB Bank,HJYT4522450072068,2023-03-16,Failed
239,75,Claim_Payout,109487,UPI,Dhanlaxmi Bank,PSDD2594410591185,2025-05-27,Failed
240,76,Claim_Payout,50734,Bank Transfer,Kotak Mahindra Bank,YELQ0768924072184,2023-09-10,Success
241,76,Salary,75329,Bank Transfer,Bandhan Bank,VEZA9287628652178,2023-03-26,Success
242,76,Salary,50778,Cash,,,2023-02-28,Pending
243,77,Claim_Payout,43243,Cash,,,2024-10-12,Failed
244,77,Reimbursement,126070,Cash,,,2025-11-14,Pending
245,77,Claim_Payout,32380,Cash,,,2025-09-03,Success
246,78,Salary,136671,UPI,Federal Bank,UWUD2410156044261,2025-06-06,Success
247,78,Reimbursement,48129,UPI,South Indian Bank,JPEG8395356177338,2023-08-28,Failed
248,78,Reimbursement,24938,UPI,IndusInd Bank,VVOH7059888045478,2025-07-20,Pending
249,78,Reimbursement,69483,Cash,,,2024-08-10,Pending
250,79,Claim_Payout,86421,UPI,Union Bank of India,EUJT7852530598921,2025-09-24,Pending
251,79,Claim_Payout,69887,Cash,,,2025-01-25,Pending
252,79,Reimbursement,115983,Bank Transfer,Bandhan Bank,ADUW9485299490758,2025-07-28,Failed
253,79,Reimbursement,57446,UPI,Punjab National Bank,GWBG4443157961625,2023-12-28,Pending
254,80,Reimbursement,93938,Cash,,,2024-08-19,Success
255,80,Salary,63201,UPI,Indian Bank,XKFM7053461265109,2025-03-07,Success
256,80,Claim_Payout,29709,UPI,CSB Bank,CANA1966976596869,2024-02-13,Pending
257,80,Claim_Payout,117214,UPI,Dhanlaxmi Bank,ARTJ9195542018904,2024-08-23,Success
258,81,Claim_Payout,113688,Cash,,,2024-01-15,Success
259,81,Claim_Payout,53365,UPI,ICICI Bank,DPXH5287852746796,2023-04-03,Success
260,82,Claim_Payout,72830,Cash,,,2025-01-22,Success
261,82,Claim_Payout,52921,Cash,,,2025-11-17,Pending
262,82,Salary,20629,Bank Transfer,Karnataka Bank,WXPD7868047970766,2025-07-01,Pending
263,83,Salary,23137,Bank Transfer,Yes Bank,NUBV8242102448670,2023-04-13,Success
264,83,Reimbursement,11179,UPI,UCO Bank,ECSZ7322135759856,2024-07-13,Failed
265,84,Reimbursement,28886,Cash,,,2023-03-10,Success
266,84,Claim_Payout,41840,UPI,Jammu & Kashmir Bank,NNNH6321508608588,2024-10-16,Success
267,84,Reimbursement,78732,Cash,,,2024-02-21,Failed
268,84,Salary,130477,Bank Transfer,Kotak Mahindra Bank,ASVL8007462304122,2025-04-03,Success
269,85,Reimbursement,122319,Cash,,,2025-07-28,Failed
270,85,Reimbursement,44390,Cash,,,2023-10-21,Success
271,86,Reimbursement,71982,Cash,,,2024-07-04,Pending
272,86,Claim_Payout,126410,Cash,,,2024-06-21,Pending
273,87,Reimbursement,81514,Bank Transfer,ICICI Bank,WMUF0208586913240,2025-01-13,Success
274,87,Reimbursement,58554,UPI,Punjab National Bank,HRHF0045840931044,2024-12-02,Failed
275,87,Salary,13429,UPI,Yes Bank,NVTB3363422210826,2025-02-21,Failed
276,88,Reimbursement,28394,UPI,RBL Bank,URTW2815061923364,2023-04-25,Success
277,88,Reimbursement,131870,Cash,,,2024-09-05,Failed
278,88,Salary,72555,Bank Transfer,IndusInd Bank,HPMQ8665376482070,2024-09-26,Pending
279,89,Reimbursement,95066,UPI,IDFC First Bank,QQCF3006721256071,2023-11-26,Success
280,89,Salary,115290,UPI,Punjab National Bank,ROLZ4818130731248,2024-05-07,Success
281,89,Claim_Payout,148956,UPI,UCO Bank,AEON6108669110634,2023-03-07,Pending
282,90,Salary,105582,UPI,City Union Bank,LPQH6402191615193,2025-05-18,Pending
283,90,Reimbursement,13467,Bank Transfer,DCB Bank,GLJT6438862789577,2025-07-12,Pending
284,90,Salary,86448,UPI,Yes Bank,TONK5411420854470,2024-03-20,Pending
285,91,Claim_Payout,113262,Cash,,,2023-03-08,Pending
286,91,Salary,81690,Bank Transfer,IDFC First Bank,JVVC1180842200413,2024-09-20,Success
287,91,Reimbursement,85287,UPI,Indian Bank,OKIU0901832681178,2023-05-27,Failed
288,91,Reimbursement,112557,UPI,Tamilnad Mercantile Bank,FDYW0659292294841,2023-04-20,Pending
289,92,Reimbursement,135213,UPI,Punjab and Sind Bank,YEML1719357780687,2024-12-04,Success
290,92,Claim_Payout,99412,UPI,IndusInd Bank,JSWF7828675414817,2023-05-29,Pending
291,92,Claim_Payout,95036,UPI,State Bank of India,UMCP9559067898656,2024-09-24,Failed
292,93,Claim_Payout,80002,Bank Transfer,State Bank of India,TLJZ6987279793844,2025-01-10,Pending
293,93,Salary,29674,UPI,South Indian Bank,RYEY7365420754538,2025-01-16,Failed
294,93,Salary,66373,Bank Transfer,Dhanlaxmi Bank,ALUG7722151598581,2024-02-22,Pending
295,94,Claim_Payout,111627,Cash,,,2024-06-11,Success
296,94,Reimbursement,44002,UPI,Punjab and Sind Bank,ZRLY2523590458055,2025-08-25,Pending
297,95,Salary,29768,Bank Transfer,IndusInd Bank,HTGP4290339336919,2023-02-07,Success
298,95,Claim_Payout,140345,Bank Transfer,CSB Bank,UCNB7831868451390,2023-09-17,Pending
299,95,Claim_Payout,121256,UPI,IndusInd Bank,VNDQ7122806672791,2025-08-11,Success
300,96,Salary,66972,Bank Transfer,IDBI Bank,HSDQ0416720497837,2023-03-09,Success
301,96,Claim_Payout,84296,Cash,,,2024-02-20,Pending
302,96,Reimbursement,106720,UPI,Canara Bank,EAZJ6922031222578,2025-04-05,Failed
303,96,Claim_Payout,84780,UPI,IDFC First Bank,OQOH9578864297485,2025-09-16,Failed
304,97,Salary,11697,Cash,,,2025-03-28,Success
305,97,Reimbursement,144927,Cash,,,2024-02-20,Failed
306,97,Claim_Payout,147964,UPI,IDFC First Bank,XNEY9804707912822,2024-10-01,Success
307,98,Reimbursement,119769,Cash,,,2025-12-15,Success
308,98,Claim_Payout,126489,Bank Transfer,City Union Bank,RMTH4832298606038,2025-02-15,Success
309,99,Reimbursement,146572,Bank Transfer,Dhanlaxmi Bank,DLTS2428248874435,2025-06-26,Failed
310,99,Claim_Payout,91046,Cash,,,2025-05-01,Pending
311,100,Salary,93225,Cash,,,2025-02-28,Failed
312,100,Reimbursement,145361,Bank Transfer,DCB Bank,ZQZU4227232230277,2023-06-01,Pending
313,100,Claim_Payout,37748,UPI,Karnataka Bank,RSWB9079717697550,2023-06-22,Pending
314,101,Reimbursement,129881,Bank Transfer,Indian Bank,ITZZ5094435363210,2025-10-03,Pending
315,101,Claim_Payout,123293,Cash,,,2025-12-10,Pending
316,101,Salary,119148,Cash,,,2024-12-14,Success
317,101,Reimbursement,95437,UPI,State Bank of India,AEWX0780078833456,2025-03-14,Failed
318,102,Reimbursement,29722,Bank Transfer,CSB Bank,AKRO4634362301146,2023-11-04,Pending
319,102,Claim_Payout,143703,Cash,,,2024-11-19,Success
320,102,Salary,91181,UPI,Kotak Mahindra Bank,GFQQ6694995136973,2025-04-02,Pending
321,102,Salary,129009,Bank Transfer,Central Bank of India,VKWG5075107945809,2023-07-17,Failed
