employee_id;employee_name;gender;date_of_birth;email;phone;department;designation;city;state;join_date;salary;employment_status
49;Vyanjana Ratti      ;Female;1993-12-27;bhattkai@example.org         ;+913014271620;Admin     ;Analyst  ;Purnia                      ;Punjab           ;2021-06-28;456688;Active  
50;Pahal Palan         ;Female;1968-04-05;sainijagat@example.com       ;4270316174   ;Admin     ;Engineer ;Singrauli                   ;Bihar            ;2025-02-17;441577;Resigned
51;Manthan Raju        ;Male  ;1978-10-01;aarinisaha@example.net       ;4783957105   ;HR        ;Executive;Pimpri-Chinchwad            ;Nagaland         ;2024-10-19;845033;Resigned
52;Harrison Karnik     ;Female;1999-08-18;anamika36@example.org        ;+914368908982;Operations;Executive;Gopalpur                    ;Himachal Pradesh ;2025-02-20;832109;Resigned
53;Amara Swamy         ;Female;1979-08-25;mpillai@example.com          ;+915292978208;Operations;Engineer ;Dehri                       ;Tamil Nadu       ;2022-03-16;727947;Active  
54;Divya Tak           ;Male  ;1997-10-01;jagat22@example.net          ;03180921393  ;Finance   ;Manager  ;Bhusawal                    ;Karnataka        ;2021-02-03;325314;On Leave
55;Dalaja Kannan       ;Male  ;1970-10-24;atiom@example.com            ;8601552142   ;Finance   ;Executive;Sri Ganganagar              ;Assam            ;2021-11-02;1034944;Active  
56;Charita Nadig       ;Male  ;1981-12-31;chandran50@example.org       ;+916531540851;Operations;Analyst  ;Cuttack                     ;Punjab           ;2023-05-13;722473;Active  
57;Gavin Wable         ;Female;1997-06-03;zwason@example.com           ;+914820981233;Admin     ;Analyst  ;Panipat                     ;Nagaland         ;2021-03-24;412850;On Leave
58;Anika Wagle         ;Female;1982-11-14;zdate@example.net            ;+915185888909;Admin     ;Manager  ;Amroha                      ;Sikkim           ;2022-03-07;741001;Active  
59;Falan Dhar          ;Male  ;1979-10-11;xnayak@example.com           ;+912676192449;Operations;Executive;Siwan                       ;Andhra Pradesh   ;2022-03-08;515608;Active  
60;Harrison Sharaf     ;Male  ;1967-02-15;rsami@example.com            ;06970170001  ;IT        ;Manager  ;Bettiah                     ;Mizoram          ;2024-02-01;1101103;Active  
61;Ishani Som          ;Male  ;1981-09-28;hiteshparmar@example.org     ;;Operations;Executive;Durg                        ;Tripura          ;2023-12-17;995812;Resigned
62;Wazir Venkataraman  ;Male  ;1974-11-19;omishaan@example.net         ;+918751907362;Operations;Manager  ;Ambattur                    ;Bihar            ;2023-03-03;428151;Resigned
63;Falguni Korpal      ;Female;1996-06-13;fpingle@example.net          ;3676819742   ;IT        ;Executive;Ahmedabad                   ;Madhya Pradesh   ;2024-08-01;1010422;Active  
64;Atharv Borde        ;Male  ;1977-07-05;;02281407638  ;Finance   ;Executive;Kolkata                     ;Nagaland         ;2023-03-07;647837;Resigned
65;Nathan Gola         ;Male  ;1988-05-13;;+912690836308;Finance   ;Manager  ;Dibrugarh                   ;Tamil Nadu       ;2025-08-15;1176607;Active  
66;Yug Rao             ;Female;1996-09-12;bavalila@example.org         ;1708300474   ;Operations;Engineer ;Rourkela                    ;Punjab           ;2022-03-10;770686;On Leave
67;Saumya Thaker       ;Male  ;1993-06-23;megharamachandran@example.org;04524942915  ;Admin     ;Manager  ;Asansol                     ;Himachal Pradesh ;2023-03-24;538564;Resigned
68;Ikshita Rajagopalan ;Female;1984-01-20;jarya@example.org            ;03319893863  ;Operations;Analyst  ;Begusarai                   ;Manipur          ;2024-05-20;536912;Resigned
69;Fitan Brahmbhatt    ;Male  ;1975-06-23;balannidra@example.com       ;02992881362  ;Finance   ;Executive;Panihati                    ;Sikkim           ;2024-06-07;1184521;Active  
70;Pranav Kar          ;Male  ;1985-04-29;ijayaswamy@example.net       ;01843704991  ;Operations;Engineer ;Raiganj                     ;Himachal Pradesh ;2021-07-20;345454;On Leave
71;Diya Dutta          ;Male  ;1974-01-25;chowdhuryradhika@example.net ;3388613682   ;Finance   ;Manager  ;Delhi                       ;Tamil Nadu       ;2022-01-31;581921;Resigned
72;Kritika Subramaniam ;Male  ;2002-02-22;amritabarad@example.net      ;+918836466471;Operations;Engineer ;Gaya                        ;Nagaland         ;2021-03-11;862003;On Leave
73;Chaitanya Suresh    ;Male  ;1979-08-24;vyohannan@example.org        ;+911067329838;HR        ;Analyst  ;Nagaon                      ;Kerala           ;2022-09-25;433093;Resigned
74;Jagvi Bhattacharyya ;Male  ;1988-04-07;shankerchaitanya@example.net ;+912470981961;Admin     ;Executive;Anand                       ;Uttarakhand      ;2025-12-04;1199261;On Leave
75;Meera Loyal         ;Female;1989-01-09;jbawa@example.com            ;+916495299841;Admin     ;Manager  ;Vijayanagaram               ;Madhya Pradesh   ;2025-06-24;1141472;Resigned
76;Ishaan Bansal       ;Female;2004-02-09;chaudhurigaurangi@example.com;08059171875  ;IT        ;Analyst  ;Nanded                      ;Karnataka        ;2024-02-16;472194;Active  
77;Madhav Divan        ;Female;1972-05-26;gnadig@example.com           ;05495013468  ;Finance   ;Analyst  ;Chapra                      ;Uttar Pradesh    ;2021-10-07;589479;Active  
78;Onkar Loke          ;Female;1993-03-21;datebarkha@example.net       ;4331470843   ;Operations;Engineer ;Jamalpur                    ;Karnataka        ;2023-12-12;323445;Active  
79;Zaitra Deol         ;Male  ;1967-06-17;zpatla@example.net           ;+910562809862;Finance   ;Executive;Muzaffarpur                 ;Bihar            ;2026-01-20;759388;Resigned
80;Yashawini Das       ;Female;1983-03-15;yhegde@example.org           ;07595300702  ;HR        ;Executive;Suryapet                    ;Arunachal Pradesh;2021-02-18;336729;Resigned
81;Frado Viswanathan   ;Female;1976-11-07;wablesai@example.org         ;04378556139  ;IT        ;Analyst  ;Maheshtala                  ;Sikkim           ;2023-08-01;505146;Active  
82;Urvi Patla          ;Male  ;1966-08-20;;9969551638   ;Operations;Analyst  ;Narasaraopet                ;Odisha           ;2025-09-26;949998;Resigned
83;Shivani Sinha       ;Male  ;1976-04-24;charvi96@example.net         ;4440907753   ;IT        ;Analyst  ;Bhagalpur                   ;Tamil Nadu       ;2025-02-07;857454;Active  
84;Maanav Rajagopalan  ;Male  ;1994-10-27;choudhryishani@example.org   ;08046055490  ;Admin     ;Analyst  ;Jodhpur                     ;Karnataka        ;2022-01-28;949146;On Leave
85;Kabir Menon         ;Male  ;1992-12-08;viraj02@example.net          ;9544668713   ;IT        ;Manager  ;Ahmednagar                  ;Punjab           ;2021-06-01;1113693;Resigned
86;Udarsh Kohli        ;Male  ;1991-12-01;nkade@example.org            ;4504772205   ;Finance   ;Executive;Begusarai                   ;Karnataka        ;2025-06-03;693594;On Leave
87;Eesha Choudhury     ;Female;2004-10-09;anya60@example.com           ;+917183946530;Operations;Engineer ;Kavali                      ;Mizoram          ;2025-06-06;435418;On Leave
88;Kai Master          ;Male  ;1968-05-07;kamdaraarush@example.net     ;+916010008550;Finance   ;Analyst  ;Karaikudi                   ;Gujarat          ;2025-01-17;1100377;Resigned
89;Amaira Merchant     ;Male  ;2004-08-23;vivaan23@example.com         ;+913870556109;IT        ;Analyst  ;Dibrugarh                   ;Rajasthan        ;2021-11-08;704780;Active  
90;Tejas Kar           ;Male  ;1977-01-26;guneet05@example.net         ;+911723045091;IT        ;Analyst  ;Kollam                      ;Uttar Pradesh    ;2022-12-29;747436;Active  
91;Jagdish Bhandari    ;Female;1978-10-30;daliagagan@example.net       ;+914486304355;Finance   ;Engineer ;Malda                       ;Tripura          ;2024-04-23;342467;On Leave
92;Gaurav Sandhu       ;Female;1981-09-11;loza@example.net             ;1316484556   ;Operations;Manager  ;Bharatpur                   ;Kerala           ;2023-09-29;533098;On Leave
93;Urishilla Vaidya    ;Female;1966-03-23;;2822722219   ;HR        ;Engineer ;Noida                       ;Kerala           ;2023-09-27;562744;On Leave
94;Aradhana Solanki    ;Female;1986-02-19;sanghamitesh@example.net     ;07125127800  ;Admin     ;Manager  ;Raurkela Industrial Township;Telangana        ;2024-03-03;303399;Active  
95;Yahvi Prasad        ;Male  ;1988-05-03;goyalkeya@example.org        ;09303459635  ;Operations;Manager  ;Ahmednagar                  ;Jharkhand        ;2025-11-22;481619;On Leave
96;Rohan Chatterjee    ;Female;1974-04-11;jyotitoor@example.com        ;+912314988898;Finance   ;Engineer ;Bahraich                    ;Odisha           ;2025-05-29;895372;Resigned
97;Qadim Vala          ;Female;1989-04-05;rachitaborah@example.com     ;+913223027520;IT        ;Engineer ;Gwalior                     ;Punjab           ;2023-01-28;465494;Active  
98;Gagan Sastry        ;Male  ;1978-06-02;nitesh90@example.org         ;07800578527  ;HR        ;Manager  ;Sasaram                     ;Karnataka        ;2025-11-18;1193761;On Leave
99;Eesha Chakraborty   ;Male  ;1997-10-14;ojasvi14@example.org         ;5025354447   ;Finance   ;Manager  ;Ahmedabad                   ;Jharkhand        ;2022-06-09;412785;On Leave
100;Chanakya D’Alia   ;Female;1994-06-02;rkalla@example.com           ;9794942525   ;HR        ;Analyst  ;Sikar                       ;Kerala           ;2025-07-01;800168;Resigned
101;Meghana Sengupta    ;Male  ;1975-04-09;ckibe@example.net            ;3110887975   ;Operations;Manager  ;Phusro                      ;Tamil Nadu       ;2025-04-14;472875;Active  
102;Agastya Raju        ;Male  ;2002-09-01;;00557384175  ;IT        ;Manager  ;Nanded                      ;Chhattisgarh     ;2024-10-25;977791;Active  
103;Januja Nazareth     ;Female;1976-11-10;;+919072836715;Admin     ;Executive;Durgapur                    ;Goa              ;2023-11-12;1011891;Resigned
104;Pranit Wagle        ;Male  ;1986-01-11;prishasidhu@example.com      ;8428984934   ;HR        ;Engineer ;Chennai                     ;Uttarakhand      ;2023-12-14;759022;Active  
105;Pavani Rai          ;Female;1999-12-15;riasengupta@example.net      ;05301118627  ;IT        ;Executive;South Dumdum                ;Meghalaya        ;2024-11-15;591583;On Leave
106;Rishi Sengupta      ;Male  ;1998-04-15;wmannan@example.org          ;4208018375   ;Admin     ;Executive;Thanjavur                   ;Telangana        ;2021-12-02;794981;On Leave
107;Chatura Sidhu       ;Female;1983-12-28;vshroff@example.net          ;+912686978252;IT        ;Engineer ;Durgapur                    ;Punjab           ;2022-09-14;873169;Resigned
108;Tarak Setty         ;Female;1975-08-29;chauhanpavani@example.org    ;02585460677  ;Operations;Engineer ;Avadi                       ;Rajasthan        ;2025-12-31;343305;On Leave
109;Dhriti Mann         ;Male  ;1976-11-28;;+917181855785;Admin     ;Engineer ;Kishanganj                  ;Odisha           ;2024-12-28;1105677;On Leave
110;Vedhika Ramesh      ;Female;2001-07-20;ojaskhosla@example.net       ;+919305905605;IT        ;Executive;Mirzapur                    ;Punjab           ;2024-07-14;803298;Active  
111;Bhavya Kapur        ;Male  ;1986-05-25;qrajagopalan@example.org     ;+916599331956;Operations;Engineer ;Durg                        ;Bihar            ;2024-09-30;519517;Active  
112;Indali Chander      ;Male  ;1992-10-23;isaacwalla@example.net       ;+915266588433;HR        ;Executive;Dehradun                    ;Nagaland         ;2022-06-03;310509;On Leave
113;Jagdish Sathe       ;Male  ;2004-11-12;raaginidesai@example.com     ;5920523379   ;Admin     ;Manager  ;Visakhapatnam               ;Rajasthan        ;2021-10-26;704728;On Leave
114;Upasna Dhar         ;Male  ;1979-04-14;lakshit45@example.org        ;07087333040  ;Admin     ;Manager  ;Kadapa                      ;Gujarat          ;2021-09-01;396367;Active  
115;Imaran Ratta        ;Female;1987-08-23;sehgalvasudha@example.net    ;02655666583  ;IT        ;Engineer ;Amritsar                    ;Chhattisgarh     ;2023-01-30;1099522;On Leave
116;Ansh Khosla         ;Female;1991-11-04;ksastry@example.org          ;+912800646235;Operations;Analyst  ;Tiruvottiyur                ;Odisha           ;2021-06-16;783843;Resigned
117;Kai Virk            ;Female;1989-10-31;pallajacob@example.org       ;1620522407   ;Operations;Analyst  ;Karawal Nagar               ;Assam            ;2024-09-21;1107630;On Leave
118;Upma Thaker         ;Male  ;1971-08-26;meerarout@example.org        ;6757113995   ;HR        ;Executive;Jalandhar                   ;Kerala           ;2021-12-15;548270;Active  
119;Indrajit Chahal     ;Female;1965-04-21;fkeer@example.com            ;09096846090  ;IT        ;Manager  ;Udupi                       ;Meghalaya        ;2024-10-12;462703;Active  
120;Amruta Nagy         ;Male  ;1997-07-26;dwalla@example.com           ;2774992586   ;Operations;Manager  ;Karaikudi                   ;Punjab           ;2024-06-11;564664;Active  
121;Thomas Mohan        ;Male  ;1966-03-23;divanwakeeta@example.org     ;04484218270  ;IT        ;Executive;Nandyal                     ;Telangana        ;2025-11-26;596034;Active  
122;Kamya Dass          ;Female;1966-01-20;amrutabhattacharyya@example.c;00480961159  ;HR        ;Executive;Mysore                      ;Punjab           ;2025-04-18;613141;Active  
123;Caleb Guha          ;Female;1976-08-07;;8432823318   ;IT        ;Engineer ;Phusro                      ;Maharashtra      ;2023-04-29;1176443;Resigned
124;Bhavika Kothari     ;Male  ;1969-10-16;dakshesh06@example.net       ;07661230665  ;Operations;Executive;Sasaram                     ;Chhattisgarh     ;2022-07-30;1183933;Active  
125;Veer Bhargava       ;Female;1989-12-07;sekhonekanta@example.org     ;+914286179074;HR        ;Engineer ;Jalna                       ;Gujarat          ;2022-03-09;704409;Active  
126;Bakhshi Raja        ;Male  ;1996-02-29;;1496385133   ;HR        ;Manager  ;Ramgarh                     ;Bihar            ;2022-07-27;885227;Resigned
127;Jagrati Sant        ;Male  ;1992-04-20;obajwa@example.com           ;+916204696139;HR        ;Manager  ;Nangloi Jat                 ;Punjab           ;2024-08-24;664393;Active  
128;Yashoda Chhabra     ;Female;1987-03-26;aashibakshi@example.net      ;1574142166   ;HR        ;Engineer ;Nangloi Jat                 ;Odisha           ;2022-02-28;461125;Resigned
129;Vyanjana Kaul       ;Male  ;1999-09-21;puridavid@example.com        ;1307149050   ;Operations;Executive;Srinagar                    ;Uttarakhand      ;2021-06-10;584428;Active  
130;Irya Morar          ;Male  ;1971-03-28;uparmar@example.org          ;5835933344   ;HR        ;Engineer ;Barasat                     ;Odisha           ;2021-02-04;968625;Active  
131;Zayyan Karpe        ;Female;1975-02-06;neelchad@example.com         ;03228915632  ;Operations;Engineer ;Amroha                      ;Gujarat          ;2024-06-18;1064130;On Leave
132;Deepa Kannan        ;Male  ;1984-10-08;fnayar@example.org           ;+913187870927;IT        ;Manager  ;Panvel                      ;Bihar            ;2022-09-10;1025927;On Leave
133;Yagnesh Morar       ;Female;1979-08-20;darika45@example.com         ;00007031574  ;HR        ;Executive;Shahjahanpur                ;Sikkim           ;2022-01-01;326333;On Leave
134;Ayushman Hayer      ;Male  ;1974-04-17;sarrafayush@example.net      ;+917280321025;Finance   ;Analyst  ;Hazaribagh                  ;Nagaland         ;2023-04-11;764876;On Leave
135;Mitali Anand        ;Male  ;2002-01-23;indira48@example.com         ;08887412796  ;Finance   ;Manager  ;Tadipatri                   ;Gujarat          ;2025-07-12;580160;Active  
136;Zansi Behl          ;Male  ;1986-08-22;theodorenagar@example.com    ;+916978102868;HR        ;Executive;Tinsukia                    ;Himachal Pradesh ;2021-06-07;326643;On Leave
137;Rishi Modi          ;Male  ;1990-12-09;zarna09@example.com          ;+918882313720;Finance   ;Executive;Ichalkaranji                ;Andhra Pradesh   ;2022-05-05;774136;Active  
138;Balveer Sani        ;Male  ;1997-05-17;tejassidhu@example.net       ;+916312587785;Admin     ;Executive;Ballia                      ;Haryana          ;2024-10-28;1017149;Resigned
139;Netra Parekh        ;Female;1991-05-06;;9510697071   ;HR        ;Analyst  ;Malda                       ;Kerala           ;2025-05-30;496957;On Leave
140;Gautami Bansal      ;Female;1983-11-21;kai92@example.com            ;4737608414   ;Admin     ;Analyst  ;Nagpur                      ;Odisha           ;2021-10-10;939002;Resigned
141;Yoshita Golla       ;Female;1979-12-16;faris27@example.com          ;07719791000  ;Operations;Analyst  ;Vadodara                    ;Himachal Pradesh ;2023-09-14;1068437;Resigned
142;Vansha Nazareth     ;Female;1966-03-21;poommen@example.org          ;00078362231  ;Admin     ;Analyst  ;Thane                       ;Goa              ;2023-10-13;821576;On Leave
143;Suhani Yohannan     ;Male  ;2000-11-22;balvansami@example.org       ;08730966686  ;IT        ;Executive;Mango                       ;Karnataka        ;2025-11-10;697156;Resigned
144;Farhan Sodhi        ;Male  ;1993-08-05;qushidyal@example.net        ;;IT        ;Analyst  ;Suryapet                    ;Madhya Pradesh   ;2023-06-29;585186;On Leave
145;Jagrati Wali        ;Male  ;1980-05-28;anmol14@example.net          ;02494702713  ;Operations;Executive;Gorakhpur                   ;Madhya Pradesh   ;2021-07-16;1199702;Active  
146;Ekansh Chandran     ;Male  ;1996-12-08;dbakshi@example.com          ;+918735971556;HR        ;Manager  ;Ramagundam                  ;Assam            ;2023-01-03;690861;Resigned
147;Ikshita Sane        ;Male  ;1994-05-31;llata@example.org            ;+915561959221;Operations;Engineer ;Morena                      ;Tamil Nadu       ;2023-01-15;387839;Resigned
148;Neel Jani           ;Male  ;1985-05-29;lakshitratta@example.com     ;05081053236  ;IT        ;Engineer ;Sasaram                     ;Odisha           ;2023-05-18;572488;Resigned
149;Hamsini Subramaniam ;Male  ;1988-03-29;bhaktaliam@example.net       ;7210102437   ;HR        ;Executive;Hosur                       ;Mizoram          ;2023-05-14;1024713;On Leave
150;Leena Cheema        ;Female;1991-12-17;ekhurana@example.net         ;5290604509   ;Admin     ;Analyst  ;Ratlam                      ;Odisha           ;2021-02-21;545479;On Leave
151;Manya Behl          ;Male  ;2004-10-13;bchatterjee@example.com      ;1900896526   ;Operations;Manager  ;Asansol                     ;Uttar Pradesh    ;2023-06-27;1153420;Resigned
152;Ojas Singh          ;Female;1985-01-16;bakhshi68@example.net        ;02527698281  ;IT        ;Analyst  ;Bhilwara                    ;Madhya Pradesh   ;2025-03-20;610723;Resigned
153;Bina Dutta          ;Male  ;1983-05-09;hmahal@example.com           ;+911172733031;Admin     ;Engineer ;Jalandhar                   ;Telangana        ;2021-05-17;362931;On Leave
154;Caleb Krishnan      ;Male  ;1993-04-18;idikacomar@example.org       ;09932897259  ;Admin     ;Manager  ;Anand                       ;Uttar Pradesh    ;2025-11-11;1160576;Resigned
155;Eshana Wagle        ;Male  ;1969-11-08;aurorachanchal@example.org   ;01004849947  ;Finance   ;Analyst  ;Kochi                       ;Uttar Pradesh    ;2022-12-16;912162;On Leave
156;Jeremiah Upadhyay   ;Male  ;1999-03-09;pausanya@example.org         ;02415435928  ;Operations;Engineer ;Srikakulam                  ;Andhra Pradesh   ;2023-01-05;886485;On Leave
157;Jagrati Datta       ;Female;1992-11-06;prisha97@example.org         ;00848533336  ;Admin     ;Executive;Bardhaman                   ;West Bengal      ;2021-01-25;450457;Active  
158;Yashawini Dey       ;Female;1994-03-02;;+913166217832;Finance   ;Manager  ;Darbhanga                   ;Kerala           ;2023-11-01;583438;Resigned
159;Zayan Dixit         ;Male  ;1967-03-04;aarinisubramaniam@example.net;0502343165   ;IT        ;Engineer ;Jhansi                      ;Bihar            ;2021-02-04;519067;Resigned
160;Harinakshi Narayan  ;Male  ;1992-12-26;aarini69@example.com         ;09163975401  ;HR        ;Executive;Tirunelveli                 ;Punjab           ;2022-12-22;805011;Resigned
161;Chaaya Sampath      ;Female;1992-03-05;birmekhala@example.org       ;9376716273   ;Admin     ;Executive;Proddatur                   ;Tripura          ;2021-05-13;637785;On Leave
162;Chaaya Dewan        ;Female;1982-02-23;vamakshi26@example.com       ;5340489474   ;IT        ;Manager  ;Kozhikode                   ;Jharkhand        ;2023-04-18;900924;Active  
163;Manthan Lad         ;Female;1991-05-31;utalwar@example.org          ;00193508406  ;HR        ;Analyst  ;Tadipatri                   ;Rajasthan        ;2023-10-24;340642;Active  
